International Journal of Information and Learning Technology,INT J INF LEARN TECH,EMERALD GROUP PUBLISHING LTD,2056-4880,2056-4880,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,602,2.4,Q3,0.49,16.67%,
International Journal of Intelligent Engineering Informatics,INT J INTELL ENG INF,INDERSCIENCE ENTERPRISES LTD,1758-8715,1758-8723,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,202,1.6,Q3,0.34,0%,
International Journal of Interactive Multimedia and Artificial Intelligence,INT J INTERACT MULTI,UNIV INT RIOJA-UNIR,1989-1660,1989-1660,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,342",3.4,Q2,0.71,100%,
International Journal of Mobile Learning and Organisation,INT J MOB LEARN ORG,INDERSCIENCE ENTERPRISES LTD,1746-725X,1746-7268,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,338,1.2,Q4,0.62,1.35%,
International Journal of Online and Biomedical Engineering,INT J ONLINE BIOMED,Int Federation Engineering Education Societies-IFEES,,2626-8493,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,874,1.7,Q3,0.3,97.6%,
International Journal of Pervasive Computing and Communications,INT J PERVASIVE COMP,EMERALD GROUP PUBLISHING LTD,1742-7371,1742-738X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,312,0.6,Q4,0.32,0.79%,
International Journal of Sustainable Agricultural Management and Informatics,INT J SUST AGR MANAG,INDERSCIENCE ENTERPRISES LTD,2054-5819,2054-5827,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,140,1.2,Q4,0.26,0%,
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-2130,1793-6349,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,722,1,Q4,0.18,3.66%,
JOURNAL OF BIOMEDICAL INFORMATICS,J BIOMED INFORM,ACADEMIC PRESS INC ELSEVIER SCIENCE,1532-0464,1532-0480,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"17,121",4,Q2,0.89,73.89%,
JOURNAL OF COMBINATORIAL OPTIMIZATION,J COMB OPTIM,SPRINGER,1382-6905,1573-2886,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,602",0.9,Q4,0.32,6.85%,
JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,"MARY ANN LIEBERT, INC",1066-5277,1557-8666,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"5,105",1.4,Q4,0.49,10%,
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,ACADEMIC PRESS INC ELSEVIER SCIENCE,0021-9991,1090-2716,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"65,817",3.8,Q2,1.12,40.78%,
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,SPRINGER,0920-654X,1573-4951,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"5,615",3,Q2,0.81,33.72%,
